orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
10294,RATTC,4,1/13/2022,1/22/2022,1/20/2022,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10295,VINET,2,4/20/2022,5/18/2022,4/27/2022,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,France
10296,LILAS,6,6/3/2021,6/28/2021,6/5/2021,1,0.12,LILA-Supermercado,Carrera 52 con Ave. BolÃ­var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,BLONP,5,10/14/2022,11/10/2022,10/21/2022,2,5.74,Blondel pÃ¨re et fils,24  place KlÃ©ber,Strasbourg,France,67000,France
10298,HUNGO,6,12/25/2022,1/22/2023,12/26/2022,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,Ireland,Ireland
10299,RICAR,4,12/17/2024,1/1/2025,12/22/2024,2,29.76,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil
10300,MAGAA,2,11/18/2020,11/29/2020,11/25/2020,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Italy,24100,Italy
10301,WANDK,8,10/11/2020,11/5/2020,10/14/2020,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Germany,70563,Germany
10302,SUPRD,4,8/10/2024,9/4/2024,8/13/2024,2,6.27,SuprÃªmes dÃ©lices,Boulevard Tirou 255,Charleroi,Belgium,B-6000,Belgium
10303,GODOS,7,7/27/2024,8/21/2024,8/2/2024,2,107.83,Godos Cocina TÃ­pica,C/ Romero 33,Sevilla,Spain,41101,Spain
10304,TORTU,1,8/9/2023,8/30/2023,8/12/2023,2,63.79,Tortuga Restaurante,Avda. Azteca 123,MÃ©xico D.F.,Mexico,5033,Mexico
10305,OLDWO,8,1/30/2024,2/16/2024,1/30/2024,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10306,ROMEY,1,1/26/2021,2/8/2021,1/27/2021,3,7.56,Romero y tomillo,Gran VÃ­a 1,Madrid,Spain,28001,Spain
10307,LONEP,2,6/29/2024,7/26/2024,6/30/2024,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10308,ANATR,7,6/18/2021,7/13/2021,6/25/2021,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la ConstituciÃ³n 2222,MÃ©xico D.F.,Mexico,5021,Mexico
10309,HUNGO,3,3/19/2023,3/29/2023,3/19/2023,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,T12,Ireland
10310,THEBI,8,11/23/2023,12/9/2023,11/25/2023,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10311,DUMON,1,7/5/2023,7/27/2023,7/11/2023,3,24.69,Du monde entier,67  rue des Cinquante Otages,Nantes,France,44000,France
10312,WANDK,2,8/2/2023,8/26/2023,8/3/2023,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Germany,70563,Germany
10313,QUICK,2,1/9/2022,1/28/2022,1/9/2022,2,1.96,QUICK-Stop,TaucherstraÃŸe 10,Cunewalde,Germany,1307,Germany
10314,RATTC,1,12/17/2021,1/4/2022,12/20/2021,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10315,ISLAT,4,9/25/2021,10/19/2021,9/30/2021,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10316,RATTC,1,11/11/2022,12/5/2022,11/11/2022,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10317,LONEP,6,10/15/2023,11/13/2023,10/18/2023,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10318,ISLAT,8,7/16/2023,8/2/2023,7/23/2023,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10319,TORTU,7,2/3/2021,2/22/2021,2/9/2021,3,64.5,Tortuga Restaurante,Avda. Azteca 123,MÃ©xico D.F.,Mexico,5033,Mexico
10320,WARTH,5,4/29/2024,5/21/2024,5/4/2024,3,34.57,Wartian Herkku,Torikatu 38,Oulu,Finland,90110,Finland
10321,ISLAT,3,12/4/2024,12/22/2024,12/10/2024,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10322,PERIC,7,9/10/2022,9/23/2022,9/17/2022,3,0.4,Pericles Comidas clÃ¡sicas,Calle Dr. Jorge Cash 321,MÃ©xico D.F.,Mexico,5033,Mexico
10323,KOENE,4,1/18/2020,2/2/2020,1/21/2020,1,4.88,KÃ¶niglich Essen,Maubelstr. 90,Brandenburg,Germany,14776,Germany
10324,SAVEA,9,1/2/2023,1/22/2023,1/2/2023,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10325,KOENE,1,6/23/2023,7/6/2023,6/29/2023,3,64.86,KÃ¶niglich Essen,Maubelstr. 90,Brandenburg,Germany,14776,Germany
10326,BOLID,4,8/5/2024,8/16/2024,8/7/2024,2,77.92,BÃ³lido Comidas preparadas,C/ Araquil 67,Madrid,Spain,28023,Spain
10327,FOLKO,2,7/4/2020,7/30/2020,7/5/2020,1,63.36,Folk och fÃ¤ HB,Ã…kergatan 24,BrÃ¤cke,Sweden,S-844 67,Sweden
10328,FURIB,4,1/25/2022,2/5/2022,1/25/2022,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Portugal,1675,Portugal
10329,SPLIR,4,10/16/2023,10/24/2023,10/22/2023,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10330,LILAS,3,11/28/2021,12/21/2021,11/29/2021,1,12.75,LILA-Supermercado,Carrera 52 con Ave. BolÃ­var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,BONAP,9,2/21/2021,3/9/2021,2/26/2021,1,10.19,Bon app',12  rue des Bouchers,Marseille,France,13008,France
10332,MEREP,3,4/1/2024,4/17/2024,4/4/2024,2,52.84,MÃ¨re Paillarde,43 rue St. Laurent,MontrÃ©al,QuÃ©bec,H1J 1C3,Canada
10333,WARTH,5,6/28/2020,7/24/2020,7/3/2020,3,0.59,Wartian Herkku,Torikatu 38,Oulu,Finland,90110,Finland
10334,VICTE,8,1/3/2023,1/17/2023,1/6/2023,2,8.56,Victuailles en stock, 2  rue du Commerce,Lyon,France,69004,France
10335,HUNGO,7,3/12/2020,4/3/2020,3/17/2020,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,T13,Ireland
10336,PRINI,7,6/14/2021,7/14/2021,6/14/2021,2,15.51,Princesa Isabel Vinhos,Estrada da saÃºde n. 58,Lisboa,Portugal,1756,Portugal
10337,FRANK,4,5/21/2021,6/11/2021,5/26/2021,3,108.26,Frankenversand,Berliner Platz 43,MÃ¼nchen,Germany,80805,Germany
10338,OLDWO,4,6/6/2023,6/21/2023,6/7/2023,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10339,MEREP,2,4/24/2022,5/23/2022,4/26/2022,2,15.66,MÃ¨re Paillarde,43 rue St. Laurent,MontrÃ©al,QuÃ©bec,H1J 1C3,Canada
10340,BONAP,1,5/3/2024,5/15/2024,5/7/2024,3,166.31,Bon app',12  rue des Bouchers,Marseille,France,13008,France
10341,SIMOB,7,2/18/2021,3/5/2021,2/24/2021,3,26.78,Simons bistro,VinbÃ¦ltet 34,Kobenhavn,Denmark,1734,Denmark
10342,FRANK,4,4/29/2024,5/8/2024,4/30/2024,2,54.83,Frankenversand,Berliner Platz 43,MÃ¼nchen,Germany,80805,Germany
10343,LEHMS,4,8/18/2024,9/10/2024,8/25/2024,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Germany,60528,Germany
10344,WHITC,4,6/11/2022,6/26/2022,6/13/2022,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10345,QUICK,2,11/8/2024,11/18/2024,11/9/2024,2,249.06,QUICK-Stop,TaucherstraÃŸe 10,Cunewalde,Germany,1307,Germany
10346,RATTC,3,2/24/2024,3/11/2024,3/1/2024,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10347,FAMIA,4,3/21/2023,4/7/2023,3/26/2023,3,3.1,Familia Arquibaldo,Rua OrÃ³s 92,Sao Paulo,SP,05442-030,Brazil
10348,WANDK,4,10/18/2020,11/14/2020,10/24/2020,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Germany,70563,Germany
10349,SPLIR,7,6/3/2023,6/30/2023,6/10/2023,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,LAMAI,6,4/22/2020,5/21/2020,4/25/2020,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,France,31000,France
10351,ERNSH,1,5/16/2021,5/29/2021,5/18/2021,1,162.33,Ernst Handel,Kirchgasse 6,Graz,Austria,8010,Austria
10352,FURIB,3,2/9/2022,2/27/2022,2/9/2022,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Portugal,1675,Portugal
10353,PICCO,7,8/30/2022,9/24/2022,9/1/2022,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,Austria,5020,Austria
10354,PERIC,8,5/24/2022,5/31/2022,5/31/2022,3,53.8,Pericles Comidas clÃ¡sicas,Calle Dr. Jorge Cash 321,MÃ©xico D.F.,Mexico,5033,Mexico
10355,AROUT,6,11/3/2024,11/21/2024,11/4/2024,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10356,WANDK,6,4/23/2022,5/2/2022,4/29/2022,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Germany,70563,Germany
10357,LILAS,1,8/25/2024,9/13/2024,8/31/2024,3,34.88,LILA-Supermercado,Carrera 52 con Ave. BolÃ­var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,LAMAI,5,11/19/2021,12/18/2021,11/22/2021,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,France,31000,France
10359,SEVES,5,7/15/2020,7/23/2020,7/20/2020,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,UK,OX15 4NB,UK
10360,BLONP,4,7/2/2021,7/14/2021,7/3/2021,3,131.7,Blondel pÃ¨re et fils,24  place KlÃ©ber,Strasbourg,France,67000,France
10361,QUICK,1,7/21/2021,8/17/2021,7/21/2021,2,183.17,QUICK-Stop,TaucherstraÃŸe 10,Cunewalde,Germany,1307,Germany
10362,BONAP,3,9/16/2023,10/2/2023,9/20/2023,1,96.04,Bon app',12  rue des Bouchers,Marseille,France,13008,France
10363,DRACD,4,2/7/2023,3/1/2023,2/7/2023,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,Germany,52066,Germany
10364,EASTC,1,1/20/2021,2/17/2021,1/27/2021,1,71.97,Eastern Connection,35 King George,London,UK,WX3 6FW,UK
10365,ANTON,3,9/20/2020,10/16/2020,9/27/2020,2,22,Antonio Moreno TaquerÃ­a,Mataderos  2312,MÃ©xico D.F.,Mexico,5023,Mexico
10366,GALED,8,11/29/2020,12/21/2020,12/1/2020,2,10.14,GalerÃ­a del gastronÃ³mo,Rambla de CataluÃ±a 23,Barcelona,Spain,8022,Spain
10367,VAFFE,7,4/8/2024,5/6/2024,4/8/2024,3,13.55,Vaffeljernet,Smagsloget 45,Ã…rhus,Denmark,8200,Denmark
10368,ERNSH,2,7/26/2022,8/9/2022,7/28/2022,2,101.95,Ernst Handel,Kirchgasse 6,Graz,Austria,8010,Austria
10369,SPLIR,8,4/21/2024,5/7/2024,4/25/2024,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10370,CHOPS,6,6/9/2024,7/9/2024,6/10/2024,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,Switzerland,3012,Switzerland
10371,LAMAI,1,7/8/2020,7/22/2020,7/15/2020,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,France,31000,France
10372,QUEEN,5,8/23/2024,9/9/2024,8/26/2024,2,890.78,Queen Cozinha,Alameda dos CanÃ rios 891,Sao Paulo,SP,05487-020,Brazil
10373,HUNGO,4,2/10/2024,3/8/2024,2/14/2024,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,T13,Ireland
10374,WOLZA,1,6/12/2023,6/21/2023,6/12/2023,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Poland,01-012,Poland
10375,HUNGC,3,5/5/2021,5/16/2021,5/10/2021,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10376,MEREP,1,2/1/2021,2/22/2021,2/8/2021,2,20.39,MÃ¨re Paillarde,43 rue St. Laurent,MontrÃ©al,QuÃ©bec,H1J 1C3,Canada
10377,SEVES,1,12/21/2022,12/30/2022,12/25/2022,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,UK,OX15 4NB,UK
10378,FOLKO,5,2/20/2021,3/3/2021,2/20/2021,3,5.44,Folk och fÃ¤ HB,Ã…kergatan 24,BrÃ¤cke,Sweden,S-844 67,Sweden
10379,QUEDE,2,11/2/2022,11/20/2022,11/4/2022,1,45.03,Que DelÃ­cia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10380,HUNGO,8,9/28/2021,10/9/2021,10/2/2021,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,T12,Ireland
10381,LILAS,3,1/13/2023,2/6/2023,1/20/2023,3,7.99,LILA-Supermercado,Carrera 52 con Ave. BolÃ­var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,ERNSH,4,5/27/2023,6/18/2023,6/1/2023,1,94.77,Ernst Handel,Kirchgasse 6,Graz,Austria,8010,Austria
10383,AROUT,8,2/15/2022,3/10/2022,2/20/2022,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10384,BERGS,3,1/26/2021,2/23/2021,1/28/2021,3,168.64,Berglunds snabbkÃ¶p,BerguvsvÃ¤gen  8,LuleÃ¥,Sweden,S-958 22,Sweden
10385,SPLIR,1,10/27/2021,11/16/2021,10/31/2021,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10386,FAMIA,9,7/12/2022,8/11/2022,7/17/2022,3,13.99,Familia Arquibaldo,Rua OrÃ³s 92,Sao Paulo,SP,05442-030,Brazil
10387,SANTG,1,6/22/2020,7/22/2020,6/27/2020,2,93.63,SantÃ© Gourmet,Erling Skakkes gate 78,Stavern,Norway,4110,Norway
10388,SEVES,2,12/8/2020,12/21/2020,12/14/2020,1,34.86,Seven Seas Imports,90 Wadhurst Rd.,London,UK,OX15 4NB,UK
10389,BOTTM,4,4/27/2022,5/27/2022,5/1/2022,2,47.42,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10390,ERNSH,6,3/26/2022,4/11/2022,3/27/2022,1,126.38,Ernst Handel,Kirchgasse 6,Graz,Austria,8010,Austria
10391,DRACD,3,12/8/2022,12/20/2022,12/9/2022,3,5.45,Drachenblut Delikatessen,Walserweg 21,Aachen,Germany,52066,Germany
10392,PICCO,2,8/27/2022,9/14/2022,9/3/2022,3,122.46,Piccolo und mehr,Geislweg 14,Salzburg,Venezuela,5020,Venezuela
10393,SAVEA,1,5/20/2021,6/9/2021,5/23/2021,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10394,HUNGC,1,12/22/2020,1/10/2021,12/22/2020,3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10395,HILAA,6,6/11/2021,7/4/2021,6/11/2021,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San CristÃ³bal,TÃ¡chira,5022,Venezuela
10396,FRANK,1,11/2/2020,11/26/2020,11/4/2020,3,135.35,Frankenversand,Berliner Platz 43,MÃ¼nchen,Germany,80805,Germany
10397,PRINI,5,12/21/2020,1/7/2021,12/28/2020,1,60.26,Princesa Isabel Vinhos,Estrada da saÃºde n. 58,Lisboa,Portugal,1756,Portugal
10398,SAVEA,2,6/5/2023,6/15/2023,6/8/2023,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10399,VAFFE,8,11/19/2024,12/9/2024,11/23/2024,3,27.36,Vaffeljernet,Smagsloget 45,Ã…rhus,Denmark,8200,Denmark
10400,EASTC,1,12/8/2020,12/21/2020,12/12/2020,3,83.93,Eastern Connection,35 King George,London,UK,WX3 6FW,UK
10401,RATTC,1,3/12/2020,3/22/2020,3/13/2020,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10402,ERNSH,8,2/17/2022,3/2/2022,2/17/2022,2,67.88,Ernst Handel,Kirchgasse 6,Graz,Austria,8010,Austria
10403,ERNSH,4,2/15/2022,3/12/2022,2/20/2022,3,73.79,Ernst Handel,Kirchgasse 6,Graz,Austria,8010,Austria
10404,MAGAA,2,11/13/2020,11/23/2020,11/18/2020,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Italy,24100,Italy
10405,LINOD,1,3/9/2023,3/19/2023,3/16/2023,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
10406,QUEEN,7,3/31/2023,4/20/2023,4/5/2023,1,108.04,Queen Cozinha,Alameda dos CanÃ rios 891,Sao Paulo,SP,05487-020,Brazil
10407,OTTIK,2,6/28/2024,7/10/2024,6/28/2024,2,91.48,Ottilies KÃ¤seladen,Mehrheimerstr. 369,KÃ¶ln,Germany,50739,Germany
10408,FOLIG,8,6/12/2021,6/23/2021,6/13/2021,1,11.26,Folies gourmandes,184  chaussÃ©e de Tournai,Lille,France,59000,France
10409,OCEAN,3,10/6/2024,10/18/2024,10/10/2024,1,29.83,OcÃ©ano AtlÃ¡ntico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,Argentina,1010,Argentina
10410,BOTTM,3,3/22/2021,3/29/2021,3/25/2021,3,2.4,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10411,BOTTM,9,10/10/2021,10/24/2021,10/12/2021,3,23.65,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10412,WARTH,8,11/13/2020,11/29/2020,11/15/2020,2,3.77,Wartian Herkku,Torikatu 38,Oulu,Finland,90110,Finland
10413,LAMAI,3,3/11/2022,4/9/2022,3/12/2022,2,95.66,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,France,31000,France
10414,FAMIA,2,7/18/2020,8/11/2020,7/25/2020,3,21.48,Familia Arquibaldo,Rua OrÃ³s 92,Sao Paulo,SP,05442-030,Brazil
10415,HUNGC,3,11/20/2023,12/15/2023,11/26/2023,1,0.2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10416,WARTH,8,11/29/2024,12/6/2024,12/3/2024,3,22.72,Wartian Herkku,Torikatu 38,Oulu,Finland,90110,Finland
10417,SIMOB,4,9/20/2022,10/14/2022,9/21/2022,3,70.29,Simons bistro,VinbÃ¦ltet 34,Kobenhavn,Denmark,1734,Denmark
10418,QUICK,4,11/5/2021,11/30/2021,11/11/2021,1,17.55,QUICK-Stop,TaucherstraÃŸe 10,Cunewalde,Germany,1307,Germany
10419,RICSU,4,6/6/2023,6/26/2023,6/9/2023,2,137.35,Richter Supermarkt,Starenweg 5,GenÃ¨ve,Switzerland,1204,Switzerland
